code,density
ZH,701
BE,158
LU,233
UR,33
SZ,143
OW,66
NW,138
GL,51
ZG,416
FR,141
SO,308
BS,5072
BL,502
SH,246
AR,220
AI,87
SG,222
GR,26
AG,388
TG,229
TI,110
VD,188
VS,53
NE,206
GE,1442
JU,82
